Institute Id,Institute Name,City,State,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18,Score_17,Rank_17,TLR_17,RPC_17,GO_17,OI_17,Perception_17,Score_16,Rank_16,TLR_16,RPC_16,GO_16,OI_16,Perception_16
IR-O-U-0381,Punjab Agricultural University,Ludhiana,Punjab,,,,,,,,,,,,,,,44.66,51.0,76.97,19.74,56.22,40.93,3.19,45.56,38.0,80.46,19.35,54.02,42.72,5.4,44.99,24.0,77.94,16.51,57.2,48.44,3.83,,,,,,,
IR-O-U-0159,Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,,,,,,,,,,,,,,,42.36,63.0,76.87,6.91,56.41,57.5,2.02,43.21,50.0,78.3,8.04,65.06,41.03,2.01,,,,,,,,,,,,,,
IR-O-U-0123,Anand Agricultural University,Anand,Gujarat,,,,,,,,,,,,,,,41.2,67.0,69.48,12.25,59.12,41.45,7.22,39.21,83.0,69.56,11.4,57.84,28.11,5.4,42.26,40.0,72.99,5.89,70.24,42.67,2.75,,,,,,,
IR-O-U-0487,Tamil Nadu Veterinary & Animal Sciences University,Chennai,Tamil Nadu,,,,,,,,,,,,,,,40.88,70.0,70.98,8.01,62.85,44.12,2.02,41.73,65.0,74.76,7.95,58.9,47.51,3.93,42.48,38.0,75.08,6.36,61.11,57.5,0.67,64.23,36,91.37,34.4,94.41,79.59,64.0
IR-O-U-0036,Sri Venkateswara Institute of Medical Sciences,Tirupati,Andhra Pradesh,,,,,,,,,,,,,,,40.24,77.0,74.13,2.55,60.45,51.11,0.41,42.33,62.0,77.09,3.0,64.64,53.34,0.41,,,,,,,,,,,,,,
IR-O-U-0784,"Professor Jayashankar Telangana State Agricultural UniversityMore Details
Close | Close | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)72.871.7167.5241.43",Hyderabad,Telangana,,,,,,,,,,,,,,,40.17,79.0,72.87,1.71,67.52,41.43,1.63,39.3,82.0,73.68,1.96,60.82,44.55,0.0,,,,,,,,,,,,,,
IR-O-U-0181,Dr. Y. S. Parmar University of Horticulture and Forestry,Solan,Himachal Pradesh,,,,,,,,,,,,,,,40.07,80.0,70.34,5.97,64.58,40.17,2.41,40.3,71.0,70.9,5.81,64.86,41.18,2.01,39.54,51.0,68.64,4.39,65.58,44.54,0.64,,,,,,,
IR-O-U-0246,University of Agricultural Sciences,Dharwad,Karnataka,,,,,,,,,,,,,,,39.59,83.0,66.33,2.54,69.04,49.62,1.63,42.55,58.0,73.71,2.64,70.63,54.04,1.22,,,,,,,,,,,,,,
IR-O-U-0233,Mangalore University,Mangalagangotri,Karnataka,,,,,,,,,,,,,,,39.26,87.0,65.49,12.44,53.43,50.34,1.63,,,,,,,,,,,,,,,,,,,,,
IR-O-U-0460,Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,,,,,,,,,,,,,,,38.79,92.0,50.65,15.1,60.81,56.34,12.76,38.61,89.0,48.66,16.63,62.03,55.95,10.18,36.44,71.0,38.08,14.77,60.31,77.36,7.82,60.85,48,64.37,60.99,100.0,80.94,0.0
IR-O-U-0047,Rajiv Gandhi University,Itanagar,Arunachal Pradesh,,,,,,,,,,,,,,,38.48,99.0,61.4,2.68,66.64,58.93,0.41,,,,,,,,36.15,76.0,54.28,3.43,56.43,74.78,0.57,,,,,,,
IR-O-U-0465,Meenakshi Academy of Higher Education and Research,Chennai,Tamil Nadu,,,,,,,,,,,,,,,38.45,100.0,63.85,1.62,66.26,55.61,0.0,38.7,88.0,70.09,3.89,54.46,55.32,0.81,36.47,70.0,56.87,2.75,59.66,66.49,0.09,,,,,,,
IR-6-O-OEMALP-U-0006,Andhra University,Visakhapatnam,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,50.39,22.0,65.98,25.12,83.14,54.75,9.53,41.38,43.0,40.32,18.59,80.31,55.75,20.72,,,,,,,
IR-3-O-ODP-I-1486,Sri Ramachandra Medical College and Research Institute,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,45.29,40.0,76.9,19.5,51.41,55.1,5.76,,,,,,,,62.53,41A,82.74,63.32,92.26,51.81,0.0
IR-2-O-EM-U-0020,Koneru Lakshmaiah Education Foundation University,Vaddeswaram,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,42.78,56.0,65.81,15.23,62.65,59.43,0.0,,,,,,,,,,,,,,
IR-1-O-O-U-0568,Bidhan Chandra Krishi Vishwavidyalaya,Nadia,West Bengal,,,,,,,,,,,,,,,,,,,,,,39.98,75.0,72.48,8.14,64.4,28.42,0.81,,,,,,,,66.33,31,94.15,41.84,98.47,56.28,80.0
IR-1-O-O-U-0360,Orissa University of Agriculture & Technology,Khordha,Odisha,,,,,,,,,,,,,,,,,,,,,,38.55,91.0,65.34,5.77,63.49,44.41,0.81,,,,,,,,,,,,,,
IR-2-O-OD-U-0250,Yenepoya,Mangalore,Karnataka,,,,,,,,,,,,,,,,,,,,,,38.53,92.0,72.52,4.92,41.28,69.87,0.41,,,,,,,,,,,,,,
IR-1-O-O-U-0146,Nirma University,Ahmedabad,Gujarat,,,,,,,,,,,,,,,,,,,,,,38.15,94.0,53.65,11.77,61.45,54.83,7.51,36.21,75.0,41.98,9.96,64.47,63.01,14.37,,,,,,,
IR-1-O-O-U-0347,Nagaland University,Zunheboto,Nagaland,,,,,,,,,,,,,,,,,,,,,,38.14,95.0,68.12,1.16,64.87,43.41,0.41,,,,,,,,,,,,,,
IR-1-O-D-U-0294,D. Y. Patil Educational Society,Kolhapur,Maharashtra,,,,,,,,,,,,,,,,,,,,,,37.61,97.0,67.68,4.3,51.69,56.82,0.0,,,,,,,,,,,,,,
IR-3-O-OEM-U-0733,PES University,Bengaluru,Karnataka,,,,,,,,,,,,,,,,,,,,,,37.51,99.0,54.21,9.28,60.17,61.18,3.17,33.94,94.0,42.31,5.84,60.61,60.1,13.75,47.3,98,49.98,48.73,0.0,42.8,64.0
IR-2-O-OE-U-0522,Jaypee Institute of Information Technology,Noida,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,37.47,100.0,43.19,17.57,60.5,53.04,18.35,35.69,81.0,35.72,13.91,62.84,78.44,3.91,,,,,,,
IR17-I-2-18243,Indian Institute of Science Bangalore,Bengaluru,Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.28,1.0,83.11,87.59,87.97,61.48,83.33,,,,,,,
IR17-I-2-30673,Jawaharlal Nehru Centre for Advanced Scientific Research,Bengaluru,Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.25,4.0,78.28,51.93,68.79,47.44,6.92,,,,,,,
IR17-I-2-1-243,Indian Agricultural Research Institute,New Delhi,Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2,15.0,58.22,33.6,74.11,76.79,11.52,,,,,,,
IR17-I-2-18364,Manipal Academy of Higher Education-Manipal,Manipal,Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.27,18.0,64.76,29.31,58.66,55.51,27.67,,,,,,,
IR17-I-1-1-249,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.06,35.0,69.46,11.63,51.78,70.33,13.45,78.82,8,94.28,63.58,100.0,70.83,95.0
IR17-I-2-1-661,Sri Ramachandra University,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.46,39.0,68.16,14.1,47.94,73.02,8.86,,,,,,,
IR17-I-2-1-299,Jagadguru Sri Shivarathreeshwara University,Mysore,Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.18,45.0,55.34,10.32,61.55,76.67,14.99,64.28,35,74.91,65.35,80.1,77.77,0.0
IR17-I-2-18214,Guru Angad Dev Veterinary & Animal Sciences University,Ludhiana,Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,50.0,71.99,10.08,56.99,40.19,0.59,,,,,,,
IR17-I-2-18259,AMITY University,Gautam Budh Nagar,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.17,52.0,38.5,23.36,63.06,61.86,18.06,,,,,,,
IR17-I-2-1-33,Annamalai University,Annamalainagar,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.59,56.0,39.03,26.87,68.64,47.19,3.67,57.58,57,44.44,61.93,79.99,49.91,80.0
IR17-I-2-1-11112,Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.13,65.0,45.32,20.13,43.86,72.48,14.69,,,,,,,
IR17-I-2-18356,Mahatma Gandhi Unversity,Kottayam,Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.79,67.0,39.81,15.3,73.72,52.78,2.43,,,,,,,
IR17-I-2-18446,Rajasthan University of Veterinary & Animal Sciences,Bikaner,Rajasthan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.78,68.0,58.97,1.52,61.19,63.32,0.6,,,,,,,
IR17-I-2-1-670,Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.92,78.0,60.66,1.04,61.23,51.62,0.05,,,,,,,
IR17-I-2-1-570,Rajasthan University,Jaipur,Rajasthan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.85,79.0,25.62,16.98,89.05,51.99,0.64,,,,,,,
IR17-I-2-18407,NITTE University,Mangalore,Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,83.0,56.23,4.89,46.39,74.89,3.95,,,,,,,
IR17-I-2-15640,Vidyasagar University,Midnapore,West Bengal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.23,87.0,35.35,14.01,73.13,57.86,0.03,,,,,,,
IR17-I-2-1-2812182676,Gandhi Institute of Technology and Management (GITAM),Visakhapatnam,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.09,89.0,44.03,8.2,59.86,59.22,15.35,,,,,,,
IR17-I-2-18311,Karpagam Academy of Higher Education,Coimbatore,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.86,90.0,50.69,8.94,51.21,63.92,3.39,,,,,,,
IR17-I-2-277952,Assam University-Silchar,Silchar,Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.38,92.0,45.75,12.09,56.02,52.53,5.65,53.13,77,56.72,53.68,0.0,54.97,64.0
IR17-I-2-18296,Jaypee University of Information Technology-Solan,Solan,Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.14,93.0,33.76,13.92,60.56,74.6,2.61,64.21,37,69.49,73.01,100.0,61.08,0.0
IR17-I-2-18551,University of Allahabad,Allahabad,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.86,95.0,22.61,17.9,77.84,58.61,2.84,55.04,68,33.16,60.55,32.64,70.69,86.0
IR17-I-2-1-N001,Sri Krishnadevaraya University,Anantapur,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.76,96.0,34.29,7.72,77.37,56.81,0.04,,,,,,,
IR17-I-1-18289,Jawaharlal Nehru Technological University,Kakinada,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.44,99.0,36.81,14.03,60.18,57.19,4.32,54.71,69,60.95,46.94,42.57,60.83,64.0
IR17-I-2-1-57,B.S. Abdur Rahman Institute of Science and Technology,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.99,100.0,42.56,6.33,56.98,63.08,6.07,,,,,,,
