Institute Id,Institute Name,City,State,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18,Score_17,Rank_17,TLR_17,RPC_17,GO_17,OI_17,Perception_17
IR-O-U-0237,National Institute of Technology Surathkal,Surathkal,Karnataka,52.88,32.0,53.81,41.74,73.32,65.58,30.01,51.86,33.0,57.45,37.5,72.93,56.28,31.64,47.37,53.0,51.32,32.27,71.35,50.89,29.4,46.14,57.0,52.66,29.51,68.64,51.71,25.85,41.8,65.0,42.31,21.43,71.88,62.86,20.13
IR-O-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,52.77,33.0,71.26,37.15,57.21,64.21,23.76,51.49,35.0,68.47,36.5,55.42,61.46,27.68,47.85,51.0,61.95,31.43,56.23,61.6,24.17,49.31,39.0,73.72,27.29,56.79,60.47,15.9,40.48,78.0,59.15,17.34,51.27,63.65,9.24
IR-O-U-0235,Mysore University,Mysuru,Karnataka,50.49,34.0,68.77,18.79,90.54,54.24,6.85,49.75,47.0,62.99,19.55,92.51,54.45,10.42,44.06,80.0,57.3,18.15,78.43,52.67,4.7,,,,,,,,42.83,57.0,41.59,20.1,93.17,53.51,3.44
IR-O-U-0572,Indian Institute of Science Education & Research Kolkata,Mohanpur,West Bengal,50.48,35.0,59.67,38.82,66.26,53.53,23.34,53.49,29.0,68.86,38.92,64.94,54.55,27.12,50.44,40.0,69.99,41.21,45.09,55.69,24.86,52.52,25.0,70.87,35.6,65.91,62.92,11.13,44.38,44.0,56.68,27.13,57.82,70.0,6.79
IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,50.42,36.0,68.64,36.45,65.98,50.79,6.22,53.2,30.0,82.4,30.44,69.83,48.72,5.06,51.95,30.0,83.26,25.24,71.18,47.29,4.33,48.98,41.0,84.14,14.18,70.13,44.74,9.85,46.45,35.0,79.17,8.75,66.98,58.08,8.7
IR-O-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,50.34,37.0,63.89,29.92,71.34,65.89,13.28,50.97,38.0,72.43,25.73,71.13,63.78,9.15,50.31,41.0,72.96,21.17,69.84,61.04,20.02,49.59,38.0,74.34,23.4,66.21,63.07,7.17,46.72,33.0,63.31,17.17,66.02,78.18,15.57
IR-O-U-0078,Panjab University,Chandigarh,Chandigarh,50.31,38.0,48.88,40.86,71.57,53.49,37.31,50.24,44.0,50.08,42.83,71.27,54.9,26.27,51.25,34.0,51.02,44.82,72.5,52.89,27.09,50.94,33.0,52.59,44.75,73.16,47.52,23.58,43.13,54.0,36.7,40.79,66.18,47.4,18.99
IR-O-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,50.0,39.0,62.4,27.78,70.0,78.43,11.06,50.24,44.0,67.82,22.59,72.25,76.16,10.42,47.97,50.0,66.01,18.1,71.7,69.38,14.55,44.81,65.0,57.32,22.53,69.57,65.94,3.55,40.47,79.0,46.39,12.75,68.53,69.17,20.95
IR-O-U-0377,"Indian Institute of Science Education & Research, Mohali",Mohali,Punjab,49.58,40.0,62.43,31.86,59.58,71.65,22.04,47.19,59.0,68.47,29.98,43.61,72.82,16.64,45.43,66.0,66.43,25.27,45.39,70.98,17.38,46.24,55.0,63.32,21.34,63.29,65.05,16.73,43.27,52.0,55.38,17.55,62.99,80.48,7.52
IR-O-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,49.27,41.0,49.19,48.29,65.32,51.66,17.89,51.87,32.0,56.48,48.96,67.16,48.68,19.43,50.75,38.0,54.23,45.65,68.68,45.97,24.4,48.62,42.0,55.85,41.93,69.73,43.4,9.85,44.02,46.0,43.93,34.18,67.94,65.97,4.0
IR-O-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,49.15,42.0,58.58,38.28,66.3,57.78,10.48,49.4,48.0,63.86,35.91,65.46,57.76,6.0,45.8,63.0,55.55,32.38,65.16,57.13,6.86,46.33,54.0,53.44,34.57,64.43,58.95,11.45,43.5,50.0,43.1,31.09,68.04,65.18,11.1
IR-O-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,48.87,43.0,48.98,43.27,67.55,64.66,12.18,46.88,63.0,50.79,37.48,66.42,62.52,8.71,43.53,84.0,50.11,28.3,65.48,61.94,7.22,42.99,80.0,48.75,30.1,62.95,62.11,5.4,39.17,86.0,38.5,23.36,63.06,61.86,18.06
IR-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,48.87,43.0,64.77,19.93,89.11,51.53,4.91,50.71,42.0,73.76,19.03,86.0,51.56,5.06,51.21,35.0,74.8,18.84,85.7,51.2,8.59,47.72,47.0,65.16,19.8,83.76,47.6,7.17,43.95,47.0,50.61,14.62,89.18,64.47,0.89
IR-O-I-1480,Thapar Institute of Engineering and Technology,Patiala,Punjab,48.83,45.0,50.44,42.26,67.3,56.35,19.32,48.59,51.0,56.99,38.79,65.75,55.71,11.25,49.27,45.0,62.13,36.3,65.31,56.58,10.24,47.11,50.0,58.24,34.97,65.36,57.27,3.55,40.78,75.0,39.35,29.05,70.16,49.1,13.17
IR-O-U-0584,Indian Institute of Engineering Science and Technology,Shibpur,West Bengal,48.7,46.0,51.58,38.99,68.65,50.22,27.77,50.41,43.0,58.92,38.96,65.97,46.0,32.64,50.96,36.0,62.98,36.74,66.47,47.19,30.41,48.06,44.0,60.01,35.5,64.06,43.37,22.63,41.28,73.0,45.5,27.57,64.98,54.35,9.29
IR-O-I-1357,University of Madras,Chennai,Tamil Nadu,48.66,47.0,61.35,31.82,66.43,53.88,20.25,50.76,41.0,65.37,33.16,68.21,55.23,20.43,51.34,33.0,64.29,33.28,68.26,54.18,30.01,51.52,29.0,66.06,33.4,68.6,53.07,26.52,41.85,64.0,44.22,29.26,62.26,62.75,10.82
IR-O-U-0006,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,48.65,48.0,55.04,25.59,85.84,54.46,18.37,51.24,36.0,63.77,25.99,86.1,56.86,14.03,52.11,29.0,69.36,23.16,86.61,55.73,14.55,,,,,,,,,,,,,,
IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,48.63,49.0,61.78,34.28,64.91,65.99,2.18,46.81,66.0,65.8,24.29,64.87,66.51,1.58,45.42,67.0,69.98,17.64,62.16,67.15,0.0,44.0,70.0,65.4,18.67,60.34,63.92,3.17,38.68,91.0,51.11,11.81,57.85,76.63,5.81
IR-O-U-0272,Indian Institute of Science Education & Research Bhopal,Bhopal,Madhya Pradesh,48.57,50.0,63.78,30.9,63.49,66.63,8.1,50.83,40.0,68.07,30.91,65.25,70.48,10.42,50.88,37.0,68.8,31.49,65.92,68.21,7.91,46.17,56.0,61.55,26.6,62.83,63.71,7.86,37.32,98.0,46.13,18.21,53.21,70.78,3.0
IR-O-U-0064,Indian Institute of Technology Patna,Patna,Bihar,47.67,51.0,60.04,37.02,57.6,53.94,16.41,48.09,54.0,67.89,32.37,54.56,52.85,18.06,46.28,58.0,66.93,29.8,54.37,51.43,12.45,44.25,69.0,67.81,25.42,52.87,49.93,7.17,39.87,83.0,52.27,19.13,55.08,71.52,2.8
